14:1,5,5,5,5
15:2,20,20,20,30
16:4,30,30,30,30
18:8,50,50,50,50
19:10,70,80,80,80
20:20,90,100,100,100
22:30,150,200,200,200
23:40,200,250,250,250
24:50,250,300,300,300
26:60,300,400,400,400
27:70,400,500,600,600
28:80,500,600,800,800
30:90,600,800,1000,1000
31:100,700,1000,1500,1500
32:150,800,1500,2000,2000
34:200,1000,2000,2800,2800
35:250,1300,2500,3600,4000
36:300,1500,3000,4500,5500
38:400,2000,4500,7000,9000
39:60,3000,6000,10000,13000
40:80,4000,7500,15000,20000
100:0,5000,9000,17500,30000
